addr	name	kind	module	class	attributed_by	size
00401000	FUN_00401000	gamemisc	audio	Helpers	caller-vote	17
00401020	FUN_00401020	gamemisc	audio	Helpers	caller-vote	17
00401040	compute_401040	gamemisc	game_misc	_helpers_computed	role:computed	17
00401060	FUN_00401060	gamemisc	audio	Helpers	caller-vote	140
004010f0	FUN_004010f0	gamemisc	audio	Helpers	caller-vote	41
00401120	FUN_00401120	gamemisc	audio	Unsorted	logic:caller-vote	185
004011e0	FUN_004011e0	gamemisc	audio	Helpers	caller-vote	78
00401230	FUN_00401230	gamemisc	audio	Helpers	caller-vote	106
004012a0	FUN_004012a0	gamemisc	audio	Unsorted	logic:caller-vote	141
00401330	FUN_00401330	gamemisc	audio	Unsorted	logic:caller-vote	45
00401360	FUN_00401360	gamemisc	audio	Helpers	caller-vote	56
004013a0	FUN_004013a0	gamemisc	audio	Helpers	caller-vote	174
00401450	FUN_00401450	gamemisc	audio	Helpers	caller-vote	35
00401480	FUN_00401480	gamemisc	audio	Helpers	caller-vote	312
004015c0	FUN_004015c0	gamemisc	audio	Helpers	caller-vote	799
004018f0	FUN_004018f0	gamemisc	audio	Helpers	caller-vote	56
00401930	FUN_00401930	gamemisc	audio	Helpers	caller-vote	139
004019c0	FUN_004019c0	gamemisc	audio	Helpers	caller-vote	45
004019f0	FUN_004019f0	gamemisc	audio	Helpers	caller-vote	280
00401b10	FUN_00401b10	gamemisc	audio	Helpers	caller-vote	34
00401b40	FUN_00401b40	gamemisc	audio	Helpers	caller-vote	248
00401c40	FUN_00401c40	gamemisc	game_misc	Unsorted_000	none	293
00401d70	FUN_00401d70	gamemisc	game_misc	Unsorted_000	none	192
00401e30	FUN_00401e30	gamemisc	game_misc	Unsorted_000	none	75
00401e80	FUN_00401e80	gamemisc	audio	Helpers	caller-vote	242
00401f80	FUN_00401f80	gamemisc	control	Helpers	caller-vote	106
00401ff0	FUN_00401ff0	gamemisc	world	_helpers_ctor-like	role:ctor-like	363
0040215e	Catch_All@0040215e	lib	_library	eh_funclets	eh	26
0040217e	FUN_0040217e	gamemisc	world	Unsorted	logic:caller-vote	89
004021e0	FUN_004021e0	gamemisc	control	Helpers	caller-vote	41
