rva	name	size
9940	?__abi_winrt_ptr_dtor@@YAXQ$ADVObject@Platform@@@Z	11
994b	?__abi_winrt_cast_to@@YAP$AAVObject@Platform@@_NP$AAV12@ABU_GUID@@@Z	57
9985	?__abi_winrt_ptrto_string_dtor@@YAXQ$ADVString@Platform@@@Z	8
998d	?Resolve@?QIWeakReference@Details@Platform@@WeakReferenceSource@23@U$AAAP$AAVObject@3@PAVGuid@3@@Z	126
9a0b	??0WeakReferenceSource@Details@Platform@@Q$AAA@P$AAVObject@2@@Z	61
9a48	??0__abi_FTMWeakRefData@@QAE@P$AAVObject@Platform@@@Z	151
9adf	__abi_dtor	53
9b14	?Increment@__abi_FTMWeakRefData@@QCGKXZ	25
9b2d	?Decrement@__abi_FTMWeakRefData@@QCGKXZ	83
9b80	?__abi_WinRTraiseException@@YGXJ@Z	191
9c3f	?__abi_winrt_ptrto_string_ctor@@YAPAXP$ADVString@Platform@@@Z	39
9c67	??0Guid@Platform@@QAA@ABU_GUID@@@Z	71
9cae	?Equals@Guid@Platform@@QAA_NABU_GUID@@@Z	54
9ce4	operator==	44
9d10	<Dispose>	25
9d29	?<Dispose>@?QIDisposable@Platform@@?$Array@I$00@2@U$AAAXXZ	30
9d47	?PlacementFree@Heap@Details@Platform@@SAXPAX0@Z	1
9d48	??0String@Platform@@Q$AAA@PB_W@Z	69
9d8e	?GetHashCode@String@Platform@@U$AAAHXZ	94
9dec	Attribute	14
9dfa	GetHashCode	3
9dfd	ToString	44
9e29	Equals	40
9e51	STAThreadAttribute	27
9e6c	ToString	44
9e98	MTAThreadAttribute	27
9eb3	GetHashCode	4
9eb7	ToString	44
9ee3	OnePhaseConstructedAttribute	27
9efe	ToString	44
9f2a	?__abi_Platform_Details_IWeakReference____abi_Resolve@?QIWeakReference@Details@Platform@@WeakReferenceSource@23@U$AAGJPAVGuid@3@PAP$AAVObject@3@@Z	40
9f52	Catch@10009f52	17
9f70	Catch_All@10009f70	5
9f76	?__abi_QueryInterface@?Q__abi_IUnknown@@WeakReferenceSource@Details@Platform@@U$AAGJAAVGuid@4@PAPAX@Z	85
9fcb	?__abi_AddRef@?Q__abi_IUnknown@@WeakReferenceSource@Details@Platform@@U$AAGKXZ	23
9fe2	?__abi_Release@?Q__abi_IUnknown@@WeakReferenceSource@Details@Platform@@U$AAGKXZ	56
a01a	?__abi_GetIids@?QObject@Platform@@WeakReferenceSource@Details@2@U$AAGJPAKPAPAVGuid@2@@Z	53
a04f	?__abi_GetRuntimeClassName@?QObject@Platform@@WeakReferenceSource@Details@2@U$AAGJPAPAUHSTRING__@@@Z	23
a066	?__abi_GetTrustLevel@COMException@Platform@@U$AAGJPAW4__abi_TrustLevel@@@Z	15
a075	?__abi_Platform_IDisposable____abi_<Dispose>@?QIDisposable@Platform@@Type@2@U$AAGJXZ	32
a095	Catch@1000a095	17
a0b3	Catch_All@1000a0b3	5
a0b9	?__abi_Platform_Details_IWeakReferenceSource____abi_GetWeakReference@?QIWeakReferenceSource@Details@Platform@@?$WriteOnlyArray@VSize@Foundation@Windows@@$00@3@U$AAGJPAP$AAUIWeakReference@23@@Z	51
