addr	name	kind	module	class	attributed_by	size
00401000	mutator_401000	gamemisc	game_misc	_helpers_mutator	role:mutator	28
00401020	FUN_00401020	gamemisc	world	Helpers	caller-vote	31
00401040	FUN_00401040	gamemisc	world	Helpers	caller-vote	26
00401060	FUN_00401060	gamemisc	world	Helpers	caller-vote	28
00401080	FUN_00401080	gamemisc	world	Helpers	caller-vote	38
004010b0	FUN_004010b0	gamemisc	world	Helpers	caller-vote	48
004010e0	FUN_004010e0	gamemisc	world	Helpers	caller-vote	81
00401140	FUN_00401140	gamemisc	entity	Helpers	caller-vote	558
00401370	FUN_00401370	gamemisc	world	Helpers	caller-vote	37
004013a0	FUN_004013a0	gamemisc	world	Helpers	caller-vote	38
004013d0	getElemPtr4	gamemisc	game_misc	Game	ledger	13
004013e0	compute_4013e0	gamemisc	game_misc	_helpers_computed	role:computed	12
004013f0	std_vector_int_at	lib	_library	cw_lib	ledger	38
00401420	FUN_00401420	gamemisc	game_misc	Unsorted_000	none	40
00401450	FUN_00401450	gamemisc	game_misc	Unsorted_000	none	55
00401490	FUN_00401490	gamemisc	game_misc	Unsorted_000	none	28
004014b0	FUN_004014b0	gamemisc	game_misc	_helpers_wrapper	role:wrapper	56
004014f0	FUN_004014f0	gamemisc	game_misc	Unsorted_000	none	55
00401530	FUN_00401530	gamemisc	game_misc	_helpers_wrapper	role:wrapper	52
00401570	FUN_00401570	gamemisc	game_misc	Unsorted_000	none	40
004015a0	FUN_004015a0	gamemisc	game_misc	Unsorted_000	none	54
004015e0	FUN_004015e0	gamemisc	game_misc	Unsorted_000	none	37
00401610	FUN_00401610	gamemisc	game_misc	Unsorted_000	none	54
00401650	FUN_00401650	gamemisc	game_misc	Unsorted_000	none	54
00401690	std::_System_error_category::scalar_deleting_destructor	lib	_library	stl	stl-ns	34
004016c0	vdispatch_4016c0	gamemisc	game_misc	_helpers_dispatch	role:dispatch	35
004016f0	FUN_004016f0	gamemisc	world	_helpers_dtor-like	role:dtor-like	245
00401786	Catch_All@00401786	lib	_library	eh_funclets	eh	32
004017c3	Catch_All@004017c3	lib	_library	eh_funclets	eh	45
00401840	FUN_00401840	gamemisc	world	Helpers	caller-vote	173
004018f0	FUN_004018f0	gamemisc	game_misc	_helpers_wrapper	role:wrapper	44
00401920	FUN_00401920	gamemisc	net	Helpers	caller-vote	279
00401a40	FUN_00401a40	gamemisc	world	Helpers	caller-vote	247
00401b40	std::_System_error_category::vfunction4	lib	_library	stl	stl-ns	50
00401b80	std::error_category::vfunction4	lib	_library	stl	stl-ns	18
00401ba0	std::error_category::vfunction5	lib	_library	stl	stl-ns	30
00401bc0	std::error_category::vfunction6	lib	_library	stl	stl-ns	51
00401c00	FUN_00401c00	gamemisc	net	Helpers	caller-vote	155
00401ca0	FUN_00401ca0	gamemisc	game_misc	Unsorted_000	none	33
00401cd0	FUN_00401cd0	gamemisc	ai	Helpers	caller-vote	112
00401d40	FUN_00401d40	gamemisc	game_misc	_helpers_wrapper	role:wrapper	56
00401d80	FUN_00401d80	gamemisc	game_misc	_helpers_wrapper	role:wrapper	69
00401dd0	std::_Generic_error_category::vfunction3	lib	_library	stl	stl-ns	113
00401e50	std::_Iostream_error_category::vfunction3	lib	_library	stl	stl-ns	79
00401ea0	std::_System_error_category::vfunction3	lib	_library	stl	stl-ns	113
00401f20	std::_Generic_error_category::vfunction2	lib	_library	stl	stl-ns	6
00401f30	std::_Iostream_error_category::vfunction2	lib	_library	stl	stl-ns	6
00401f40	std::_System_error_category::vfunction2	lib	_library	stl	stl-ns	6
00401f50	FUN_00401f50	gamemisc	game_misc	_helpers_wrapper	role:wrapper	96
00401fb0	FUN_00401fb0	gamemisc	game_misc	_helpers_wrapper	role:wrapper	122
00402030	FUN_00402030	gamemisc	game_misc	Unsorted_000	none	278
00402150	FUN_00402150	gamemisc	world	Helpers	caller-vote	4
00402160	FUN_00402160	gamemisc	world	Helpers	caller-vote	4
00402170	FUN_00402170	gamemisc	world	Helpers	caller-vote	4
00402180	FUN_00402180	gamemisc	game_misc	Unsorted_000	none	37
004021b0	FUN_004021b0	gamemisc	game_misc	Unsorted_000	none	50
004021f0	FUN_004021f0	gamemisc	game_misc	Unsorted_000	none	231
004022e0	FUN_004022e0	gamemisc	game_misc	Unsorted_000	none	203
004023b0	FUN_004023b0	gamemisc	game_misc	Unsorted_000	none	201
00402480	FUN_00402480	gamemisc	game_misc	_helpers_wrapper	role:wrapper	30
004024a0	FUN_004024a0	gamemisc	game_misc	_helpers_wrapper	role:wrapper	30
004024c0	FUN_004024c0	gamemisc	game_misc	_helpers_wrapper	role:wrapper	30
004024e0	FUN_004024e0	gamemisc	game_misc	_helpers_wrapper	role:wrapper	40
00402510	FUN_00402510	gamemisc	game_misc	Unsorted_000	none	64
00402550	FUN_00402550	gamemisc	ai	Helpers	caller-vote	96
004025b0	FUN_004025b0	gamemisc	ai	Helpers	caller-vote	52
004025f0	FUN_004025f0	gamemisc	ai	Helpers	caller-vote	565
004027ef	Catch_All@004027ef	lib	_library	eh_funclets	eh	20
00402840	FUN_00402840	gamemisc	ai	Helpers	caller-vote	316
00402954	Catch_All@00402954	lib	_library	eh_funclets	eh	20
00402990	vec3_store	gamemisc	render	Proven	ledger	26
004029b0	FUN_004029b0	gamemisc	ai	Helpers	caller-vote	34
004029e0	cube::CombatBehavior::CombatBehavior	game	ai	CombatBehavior	rtti	46
00402a10	fwd_0054a946_402a10	gamemisc	game_misc	_helpers_thunk	role:thunk	44
00402a40	FUN_00402a40	gamemisc	game_misc	Unsorted_000	none	46
00402a70	FUN_00402a70	gamemisc	ai	Helpers	caller-vote	149
00402b10	FUN_00402b10	gamemisc	ai	Helpers	caller-vote	159
00402bb0	FUN_00402bb0	gamemisc	world	Helpers	caller-vote	15
00402bc0	FUN_00402bc0	gamemisc	world	Helpers	caller-vote	6
00402bd0	FUN_00402bd0	gamemisc	ai	Helpers	caller-vote	63
00402c10	FUN_00402c10	gamemisc	game_misc	Unsorted_000	none	22
00402c30	FUN_00402c30	gamemisc	game_misc	Unsorted_000	none	19
00402c50	FUN_00402c50	gamemisc	ai	Helpers	caller-vote	85
00402cb0	FUN_00402cb0	gamemisc	game_misc	Unsorted_000	none	85
00402d10	FUN_00402d10	gamemisc	game_misc	Unsorted_000	none	37
00402d40	FUN_00402d40	gamemisc	game_misc	_helpers_wrapper	role:wrapper	57
00402d80	FUN_00402d80	gamemisc	ai	Helpers	caller-vote	37
00402db0	FUN_00402db0	gamemisc	ai	Helpers	caller-vote	120
00402e30	FUN_00402e30	gamemisc	game_misc	Unsorted_000	none	46
00402e60	FUN_00402e60	gamemisc	game_misc	Unsorted_000	none	22
00402e80	FUN_00402e80	gamemisc	game_misc	Unsorted_000	none	46
00402eb0	FUN_00402eb0	gamemisc	game_misc	Unsorted_000	none	22
00402ed0	FUN_00402ed0	gamemisc	ai	Helpers	caller-vote	92
00402f40	cube::CombatBehavior::vfunction1	game	ai	CombatBehavior	rtti	9147
00405330	FUN_00405330	gamemisc	ai	_helpers_dtor-like	role:dtor-like	171
004053e0	cube::CombatBehavior::vfunction2	game	ai	CombatBehavior	rtti	55
00405420	FUN_00405420	gamemisc	game_misc	_helpers_wrapper	role:wrapper	42
00405450	FUN_00405450	gamemisc	ai	Unsorted	logic:caller-vote	191
00405510	FUN_00405510	gamemisc	game_misc	_helpers_wrapper	role:wrapper	54
00405550	FUN_00405550	gamemisc	game_misc	Unsorted_000	none	20
00405570	FUN_00405570	gamemisc	game_misc	_helpers_dtor-like	role:dtor-like	40
004055a0	FUN_004055a0	gamemisc	game_misc	_helpers_wrapper	role:wrapper	38
004055d0	cube::CompanionBehavior::CompanionBehavior	game	ai	CompanionBehavior	rtti	23
004055f0	cube::CompanionBehavior::CompanionBehavior	game	ai	CompanionBehavior	rtti	27
00405610	FUN_00405610	gamemisc	world	Helpers	caller-vote	38
00405640	CRefTime::Millisecs	lib	_library	sdk_classes	rtti-lib-ns	18
00405660	FUN_00405660	gamemisc	game_misc	Unsorted_000	none	37
00405690	FUN_00405690	gamemisc	game_misc	Unsorted_000	none	35
004056c0	FUN_004056c0	gamemisc	ai	Helpers	caller-vote	129
00405750	FUN_00405750	gamemisc	game_misc	Unsorted_000	none	37
00405780	cube::CompanionBehavior::vfunction1	game	ai	CompanionBehavior	rtti	1888
00405ef0	cube::CompanionBehavior::vfunction2	game	ai	CompanionBehavior	rtti	41
00405f20	Column_getBlockChecked	gamemisc	world	Proven	ledger	174
00405fd0	World_getBlockAt	gamemisc	world	Proven	ledger	119
00406050	World_getBlockFloat	gamemisc	world	Proven	ledger	175
00406100	Chunk_getColumnAt	gamemisc	world	Proven	ledger	208
004061d0	get_field_0x10	lib	_library	cw_lib	ledger	4
004061e0	compute_4061e0	gamemisc	game_misc	_helpers_computed	role:computed	11
004061f0	check_type_low5_active	lib	_library	cw_lib	ledger	22
00406210	FUN_00406210	gamemisc	world	Helpers	caller-vote	54
00406250	get_0x1c_406250	gamemisc	game_misc	_helpers_accessor	role:accessor	4
00406260	fwd_004056c0_406260	gamemisc	game_misc	_helpers_thunk	role:thunk	19
00406280	compute_406280	gamemisc	game_misc	_helpers_computed	role:computed	10
00406290	Region_getChunkCell	gamemisc	world	Proven	ledger	120
00406310	FUN_00406310	gamemisc	world	_helpers_dtor-like	role:dtor-like	62
00406350	FUN_00406350	gamemisc	game_misc	_helpers_wrapper	role:wrapper	47
00406380	FUN_00406380	gamemisc	world	Helpers	caller-vote	44
004063b0	fwd_00407be0_4063b0	gamemisc	game_misc	_helpers_thunk	role:thunk	31
004063d0	FUN_004063d0	gamemisc	game_misc	_helpers_ctor-like	role:ctor-like	35
00406400	cube::Creature::Creature	game	entity	Creature	rtti	1385
00406970	FUN_00406970	gamemisc	world	Helpers	caller-vote	346
00406ad0	FUN_00406ad0	gamemisc	world	Helpers	caller-vote	1054
00406ef0	FUN_00406ef0	gamemisc	world	_helpers_wrapper	role:wrapper	122
00406f70	FUN_00406f70	gamemisc	game_misc	_helpers_wrapper	role:wrapper	81
00406fd0	FUN_00406fd0	gamemisc	game_misc	_helpers_wrapper	role:wrapper	74
00407020	FUN_00407020	gamemisc	entity	Helpers	caller-vote	634
004072a0	FUN_004072a0	gamemisc	game_misc	_helpers_wrapper	role:wrapper	36
004072d0	cube::Creature::~Creature	game	entity	Creature	rtti	889
00407650	FUN_00407650	gamemisc	game_misc	_helpers_wrapper	role:wrapper	66
004076a0	FUN_004076a0	gamemisc	entity	Helpers	caller-vote	132
00407730	FUN_00407730	gamemisc	game_misc	Unsorted_000	none	405
004078d0	compute_4078d0	gamemisc	game_misc	_helpers_computed	role:computed	19
004078f0	FUN_004078f0	gamemisc	game_misc	Unsorted_000	none	197
004079c0	FUN_004079c0	gamemisc	game_misc	Unsorted_000	none	41
004079f0	FUN_004079f0	gamemisc	game_misc	Unsorted_000	none	55
00407a30	FUN_00407a30	gamemisc	world	Helpers	caller-vote	23
00407a50	FUN_00407a50	gamemisc	game_misc	Unsorted_000	none	76
00407aa0	cube::Creature::scalar_deleting_destructor	game	entity	Creature	rtti	33
00407ad0	FUN_00407ad0	gamemisc	entity	Helpers	caller-vote	47
00407b00	FUN_00407b00	gamemisc	game_misc	Unsorted_000	none	47
00407b30	FUN_00407b30	gamemisc	game_misc	Unsorted_000	none	47
00407b60	FUN_00407b60	gamemisc	entity	Helpers	caller-vote	57
00407ba0	FUN_00407ba0	gamemisc	net	Helpers	caller-vote	54
00407be0	FUN_00407be0	gamemisc	entity	Helpers	caller-vote	54
00407c20	FUN_00407c20	gamemisc	entity	Helpers	caller-vote	90
00407c80	FUN_00407c80	gamemisc	game_misc	Unsorted_000	none	63
00407cc0	FUN_00407cc0	gamemisc	ai	Helpers	caller-vote	54
00407d60	FUN_00407d60	gamemisc	game_misc	Unsorted_000	none	53
00407db0	FUN_00407db0	gamemisc	ai	Helpers	caller-vote	898
00408230	FUN_00408230	gamemisc	game_misc	Unsorted_000	none	196
00408300	FUN_00408300	gamemisc	game_misc	Unsorted_000	none	419
004084b0	FUN_004084b0	gamemisc	ai	Helpers	caller-vote	2086
00408f70	FUN_00408f70	gamemisc	game_misc	Unsorted_000	none	735
00409270	FUN_00409270	gamemisc	game_misc	_helpers_ctor-like	role:ctor-like	448
004094a0	FUN_004094a0	gamemisc	game_misc	Unsorted_000	none	296
004095d0	FUN_004095d0	gamemisc	game_misc	Unsorted_000	none	78
00409620	FUN_00409620	gamemisc	game_misc	Unsorted_000	none	53
00409660	FUN_00409660	gamemisc	game_misc	Unsorted_000	none	74
004096b0	FUN_004096b0	gamemisc	ai	Helpers	caller-vote	141
00409740	FUN_00409740	gamemisc	game_misc	Unsorted_000	none	55
00409780	FUN_00409780	gamemisc	game_misc	Unsorted_000	none	669
00409ac0	FUN_00409ac0	gamemisc	game_misc	Unsorted_000	none	586
00409d10	FUN_00409d10	gamemisc	game_misc	Unsorted_000	none	94
00409de0	FUN_00409de0	gamemisc	ai	Helpers	caller-vote	126
00409e60	FUN_00409e60	gamemisc	entity	Helpers	caller-vote	189
00409f20	FUN_00409f20	gamemisc	entity	Helpers	caller-vote	678
0040a1d0	FUN_0040a1d0	gamemisc	world	Helpers	caller-vote	601
0040a430	FUN_0040a430	gamemisc	entity	Helpers	caller-vote	189
0040a4f0	FUN_0040a4f0	gamemisc	game_misc	Unsorted_000	none	680
